N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2346,1,z:ilp,nat-oop,7262,9867,18.083,1.359,1.639e-15,chain3,1
2347,1,z:ilp,nat-oop,17580,24481,7.474,1.393,2.337e-15,prime,0
2347,1,z:ilp,nat-oop,16822,24417,7.811,1.452,2.337e-15,prime,1
2348,1,z:ilp,nat-oop,22777,24518,5.772,1.076,7.050e-16,prime,0
2348,1,z:ilp,nat-oop,22183,24525,5.926,1.106,7.050e-16,prime,1
2349,1,z:ilp,nat-oop,8889,11029,14.796,1.241,1.364e-15,chain3,0
2349,1,z:ilp,nat-oop,6879,11017,19.118,1.601,1.364e-15,chain3,1
2350,1,z:ilp,nat-oop,10186,14375,12.917,1.411,2.062e-15,chain3,0
2350,1,z:ilp,nat-oop,10142,14385,12.974,1.418,2.062e-15,chain3,1
2351,1,z:ilp,nat-oop,22735,24454,5.790,1.076,9.115e-16,prime,0
2351,1,z:ilp,nat-oop,22664,24495,5.808,1.081,9.115e-16,prime,1
2352,1,z:ilp,nat-oop,2284,3472,57.669,1.520,5.654e-16,ztt,0
2352,1,z:ilp,nat-oop,2298,3453,57.314,1.503,5.654e-16,ztt,1
2353,1,z:ilp,nat-oop,22277,24608,5.915,1.105,8.274e-16,prime,0
2353,1,z:ilp,nat-oop,22773,24612,5.786,1.081,8.274e-16,prime,1
2354,1,z:ilp,nat-oop,22956,37419,5.743,1.630,6.499e-16,prime,0
2354,1,z:ilp,nat-oop,23148,37427,5.695,1.617,6.499e-16,prime,1
2355,1,z:ilp,nat-oop,22753,24542,5.797,1.079,8.168e-16,prime,0
2355,1,z:ilp,nat-oop,22665,24430,5.819,1.078,8.168e-16,prime,1
2356,1,z:ilp,nat-oop,9542,12099,13.830,1.268,1.890e-15,chain3,0
2356,1,z:ilp,nat-oop,6615,12104,19.949,1.830,1.890e-15,chain3,1
2357,1,z:ilp,nat-oop,22798,24537,5.791,1.076,6.664e-16,prime,0
2357,1,z:ilp,nat-oop,23156,24616,5.701,1.063,6.664e-16,prime,1
2358,1,z:ilp,nat-oop,22779,45604,5.799,2.002,8.722e-16,prime,0
2358,1,z:ilp,nat-oop,22769,45613,5.801,2.003,8.722e-16,prime,1
2359,1,z:ilp,nat-oop,22199,24491,5.953,1.103,6.788e-16,prime,0
2359,1,z:ilp,nat-oop,22233,24509,5.944,1.102,6.788e-16,prime,1
2360,1,z:ilp,nat-oop,22713,18472,5.821,0.813,9.451e-16,prime,0
2360,1,z:ilp,nat-oop,22723,18479,5.819,0.813,9.451e-16,prime,1
2361,1,z:ilp,nat-oop,23158,24656,5.712,1.065,8.300e-16,prime,0
2361,1,z:ilp,nat-oop,22639,24624,5.843,1.088,8.300e-16,prime,1
2362,1,z:ilp,nat-oop,23173,24660,5.711,1.064,1.015e-15,prime,0
2362,1,z:ilp,nat-oop,23164,24609,5.713,1.062,1.015e-15,prime,1
2363,1,z:ilp,nat-oop,22954,24517,5.768,1.068,9.589e-16,prime,0
2363,1,z:ilp,nat-oop,22866,24470,5.791,1.070,9.589e-16,prime,1
2364,1,z:ilp,nat-oop,22680,24586,5.841,1.084,9.906e-16,prime,0
2364,1,z:ilp,nat-oop,22627,24503,5.854,1.083,9.906e-16,prime,1
2365,1,z:ilp,nat-oop,12277,16237,10.795,1.323,2.766e-15,chain3,0
2365,1,z:ilp,nat-oop,13484,16228,9.828,1.203,2.766e-15,chain3,1
2366,1,z:ilp,nat-oop,5719,4947,23.186,0.865,1.631e-15,flat,0
2366,1,z:ilp,nat-oop,5706,4922,23.236,0.863,1.631e-15,flat,1
2367,1,z:ilp,nat-oop,22684,24476,5.848,1.079,1.186e-15,prime,0
2367,1,z:ilp,nat-oop,23209,24440,5.716,1.053,1.186e-15,prime,1
2368,1,z:ilp,nat-oop,6343,10631,20.923,1.676,2.267e-15,2p,0
2368,1,z:ilp,nat-oop,6354,10636,20.887,1.674,2.267e-15,2p,1
2369,1,z:ilp,nat-oop,28239,24666,4.702,0.873,8.496e-16,prime,0
2369,1,z:ilp,nat-oop,22582,24637,5.880,1.091,8.496e-16,prime,1
2370,1,z:ilp,nat-oop,23004,25676,5.775,1.116,7.649e-16,prime,0
2370,1,z:ilp,nat-oop,22890,25655,5.804,1.121,7.649e-16,prime,1
2371,1,z:ilp,nat-oop,23171,24528,5.736,1.059,9.151e-16,prime,0
2371,1,z:ilp,nat-oop,22668,24518,5.863,1.082,9.151e-16,prime,1
2372,1,z:ilp,nat-oop,23028,24473,5.774,1.063,1.075e-15,prime,0
2372,1,z:ilp,nat-oop,23194,24500,5.733,1.056,1.075e-15,prime,1
2373,1,z:ilp,nat-oop,23579,24627,5.642,1.044,9.984e-16,prime,0
2373,1,z:ilp,nat-oop,23011,24576,5.781,1.068,9.984e-16,prime,1
2374,1,z:ilp,nat-oop,23183,24600,5.741,1.061,9.263e-16,prime,0
2374,1,z:ilp,nat-oop,23164,24594,5.746,1.062,9.263e-16,prime,1
2375,1,z:ilp,nat-oop,4608,7461,28.897,1.619,1.261e-15,flat,0
2375,1,z:ilp,nat-oop,4685,7458,28.423,1.592,1.261e-15,flat,1
2376,1,z:ilp,nat-oop,4431,4066,30.066,0.918,8.555e-16,chain3,0
2376,1,z:ilp,nat-oop,3887,4096,34.271,1.054,8.555e-16,chain3,1
2377,1,z:ilp,nat-oop,15170,24698,8.786,1.628,2.192e-15,prime,0
2377,1,z:ilp,nat-oop,17466,24593,7.631,1.408,2.192e-15,prime,1
2378,1,z:ilp,nat-oop,14597,17462,9.136,1.196,2.774e-15,flat,0
2378,1,z:ilp,nat-oop,13480,17452,9.893,1.295,2.774e-15,flat,1
2379,1,z:ilp,nat-oop,23186,25587,5.754,1.104,7.255e-16,prime,0
2379,1,z:ilp,nat-oop,22806,25562,5.850,1.121,7.255e-16,prime,1
2380,1,z:ilp,nat-oop,4371,6626,30.536,1.516,1.109e-15,flat,0
2380,1,z:ilp,nat-oop,4444,6639,30.036,1.494,1.109e-15,flat,1
2381,1,z:ilp,nat-oop,22239,24623,6.005,1.107,7.450e-16,prime,0
2381,1,z:ilp,nat-oop,22673,24614,5.890,1.086,7.450e-16,prime,1
2382,1,z:ilp,nat-oop,22587,24642,5.915,1.091,9.984e-16,prime,0
2382,1,z:ilp,nat-oop,33986,24564,3.931,0.723,9.984e-16,prime,1
2383,1,z:ilp,nat-oop,23166,24573,5.770,1.061,8.589e-16,prime,0
2383,1,z:ilp,nat-oop,23559,24529,5.674,1.041,8.589e-16,prime,1
2384,1,z:ilp,nat-oop,22233,52356,6.015,2.355,8.473e-16,prime,0
2384,1,z:ilp,nat-oop,22762,52288,5.875,2.297,8.473e-16,prime,1
2385,1,z:ilp,nat-oop,23142,21593,5.782,0.933,9.267e-16,prime,0
2385,1,z:ilp,nat-oop,22996,21564,5.818,0.938,9.267e-16,prime,1
2386,1,z:ilp,nat-oop,23120,24611,5.790,1.064,7.731e-16,prime,0
2386,1,z:ilp,nat-oop,22580,24623,5.928,1.091,7.731e-16,prime,1
2387,1,z:ilp,nat-oop,7108,11114,18.842,1.564,1.989e-15,chain3,0
2387,1,z:ilp,nat-oop,9315,11128,14.377,1.195,1.989e-15,chain3,1
2388,1,z:ilp,nat-oop,23500,24516,5.702,1.043,7.969e-16,prime,0
2388,1,z:ilp,nat-oop,23124,24518,5.794,1.060,7.969e-16,prime,1
2389,1,z:ilp,nat-oop,22275,24628,6.018,1.106,7.057e-16,prime,0
2389,1,z:ilp,nat-oop,23356,24667,5.739,1.056,7.057e-16,prime,1
2390,1,z:ilp,nat-oop,28955,24645,4.632,0.851,7.253e-16,prime,0
2390,1,z:ilp,nat-oop,22197,24618,6.042,1.109,7.253e-16,prime,1
2391,1,z:ilp,nat-oop,23536,24561,5.701,1.044,7.650e-16,prime,0
2391,1,z:ilp,nat-oop,23579,24530,5.691,1.040,7.650e-16,prime,1
