library,N,l2_error,max_error,rt_error
VectorFFT,2167,5.402e-16,6.705e-16,1.381e-15
MKL,2167,4.704e-16,4.735e-16,1.554e-15
VectorFFT,2168,5.459e-16,9.356e-16,1.265e-15
MKL,2168,4.544e-16,5.748e-16,1.632e-15
VectorFFT,2169,5.707e-16,1.003e-15,1.267e-15
MKL,2169,4.801e-16,5.136e-16,1.660e-15
VectorFFT,2170,4.753e-16,4.981e-16,1.287e-15
MKL,2170,2.959e-16,3.332e-16,8.951e-16
VectorFFT,2171,5.750e-16,7.310e-16,1.339e-15
MKL,2171,5.012e-16,5.578e-16,1.825e-15
VectorFFT,2172,5.277e-16,6.534e-16,1.316e-15
MKL,2172,4.655e-16,4.025e-16,1.485e-15
VectorFFT,2173,5.652e-16,9.844e-16,1.259e-15
MKL,2173,4.201e-16,4.679e-16,1.535e-15
VectorFFT,2174,5.746e-16,6.928e-16,1.315e-15
MKL,2174,4.686e-16,5.269e-16,1.700e-15
VectorFFT,2175,5.106e-16,4.883e-16,1.257e-15
MKL,2175,3.246e-16,3.148e-16,9.906e-16
VectorFFT,2176,4.750e-16,5.818e-16,1.098e-15
MKL,2176,2.356e-16,3.316e-16,8.332e-16
VectorFFT,2177,5.719e-16,6.550e-16,1.263e-15
MKL,2177,4.696e-16,4.988e-16,1.689e-15
VectorFFT,2178,6.232e-16,7.906e-16,1.875e-15
MKL,2178,2.902e-16,3.442e-16,9.379e-16
VectorFFT,2179,5.781e-16,6.920e-16,1.247e-15
MKL,2179,4.923e-16,5.787e-16,1.663e-15
VectorFFT,2180,5.457e-16,6.845e-16,1.554e-15
MKL,2180,3.245e-16,5.320e-16,9.655e-16
VectorFFT,2181,5.711e-16,7.854e-16,1.434e-15
MKL,2181,4.913e-16,5.252e-16,1.631e-15
VectorFFT,2182,5.583e-16,8.047e-16,1.260e-15
MKL,2182,4.711e-16,5.306e-16,1.524e-15
VectorFFT,2183,5.384e-16,7.620e-16,1.292e-15
MKL,2183,3.816e-16,4.250e-16,1.385e-15
VectorFFT,2184,5.039e-16,5.497e-16,1.270e-15
MKL,2184,2.663e-16,3.061e-16,8.347e-16
VectorFFT,2185,5.081e-16,6.246e-16,1.384e-15
MKL,2185,3.900e-16,4.565e-16,1.171e-15
VectorFFT,2186,5.724e-16,8.083e-16,1.365e-15
MKL,2186,4.526e-16,5.532e-16,1.447e-15
VectorFFT,2187,5.955e-16,6.988e-16,1.288e-15
MKL,2187,4.073e-16,5.422e-16,1.280e-15
VectorFFT,2188,5.573e-16,6.557e-16,1.386e-15
MKL,2188,4.541e-16,4.826e-16,1.635e-15
VectorFFT,2189,5.343e-16,9.003e-16,1.316e-15
MKL,2189,4.733e-16,5.386e-16,1.513e-15
VectorFFT,2190,5.598e-16,7.183e-16,1.439e-15
MKL,2190,3.440e-16,4.022e-16,1.307e-15
VectorFFT,2191,5.764e-16,7.265e-16,1.386e-15
MKL,2191,4.806e-16,5.013e-16,1.756e-15
VectorFFT,2192,5.417e-16,7.980e-16,1.272e-15
MKL,2192,3.338e-16,5.580e-16,1.050e-15
VectorFFT,2193,5.749e-16,6.317e-16,1.628e-15
MKL,2193,3.705e-16,3.320e-16,1.150e-15
VectorFFT,2194,5.817e-16,9.153e-16,1.386e-15
MKL,2194,4.725e-16,5.282e-16,1.440e-15
VectorFFT,2195,5.892e-16,8.242e-16,1.427e-15
MKL,2195,4.676e-16,4.840e-16,1.475e-15
VectorFFT,2196,5.435e-16,7.046e-16,1.371e-15
