library,N,l2_error,max_error,rt_error
MKL,162,2.207e-16,2.257e-16,6.730e-16
VectorFFT,163,8.830e-16,1.007e-15,2.075e-15
MKL,163,3.698e-16,4.018e-16,1.130e-15
VectorFFT,164,3.132e-16,3.025e-16,7.004e-16
MKL,164,2.220e-16,2.485e-16,4.994e-16
VectorFFT,165,3.608e-16,3.566e-16,7.095e-16
MKL,165,2.679e-16,2.553e-16,6.570e-16
VectorFFT,166,6.161e-16,7.092e-16,1.168e-15
MKL,166,2.766e-16,3.056e-16,6.665e-16
VectorFFT,167,6.392e-16,6.982e-16,1.387e-15
MKL,167,4.057e-16,3.208e-16,1.379e-15
VectorFFT,168,3.535e-16,4.637e-16,9.313e-16
MKL,168,2.334e-16,2.329e-16,6.247e-16
VectorFFT,169,4.869e-16,6.417e-16,1.069e-15
MKL,169,2.438e-16,3.306e-16,5.041e-16
VectorFFT,170,4.482e-16,4.964e-16,8.119e-16
MKL,170,2.255e-16,3.176e-16,5.713e-16
VectorFFT,171,4.113e-16,3.743e-16,7.479e-16
MKL,171,3.034e-16,2.328e-16,6.255e-16
VectorFFT,172,4.148e-16,6.392e-16,8.816e-16
MKL,172,2.078e-16,2.919e-16,5.602e-16
VectorFFT,173,5.398e-16,6.650e-16,8.356e-16
MKL,173,3.929e-16,4.233e-16,1.147e-15
VectorFFT,174,4.099e-16,4.183e-16,9.611e-16
MKL,174,2.329e-16,2.974e-16,5.235e-16
VectorFFT,175,3.320e-16,3.896e-16,5.986e-16
MKL,175,3.378e-16,3.679e-16,8.558e-16
VectorFFT,176,3.007e-16,3.191e-16,7.849e-16
MKL,176,1.846e-16,1.909e-16,5.791e-16
VectorFFT,177,7.334e-16,8.302e-16,1.426e-15
MKL,177,2.582e-16,3.343e-16,6.223e-16
VectorFFT,178,5.692e-16,8.715e-16,1.070e-15
MKL,178,2.518e-16,2.665e-16,7.526e-16
VectorFFT,179,5.740e-16,9.159e-16,1.018e-15
MKL,179,3.954e-16,3.972e-16,1.093e-15
VectorFFT,180,4.474e-16,4.814e-16,9.934e-16
MKL,180,2.102e-16,2.287e-16,6.034e-16
VectorFFT,181,8.007e-16,7.311e-16,2.055e-15
MKL,181,3.833e-16,3.808e-16,1.287e-15
VectorFFT,182,5.037e-16,8.146e-16,1.223e-15
MKL,182,2.189e-16,2.919e-16,6.455e-16
VectorFFT,183,5.664e-16,7.732e-16,1.116e-15
MKL,183,2.645e-16,2.037e-16,7.211e-16
VectorFFT,184,3.704e-16,4.350e-16,1.022e-15
MKL,184,2.075e-16,2.659e-16,8.114e-16
VectorFFT,185,3.493e-16,3.514e-16,8.521e-16
MKL,185,2.505e-16,2.808e-16,6.563e-16
VectorFFT,186,4.181e-16,5.339e-16,9.871e-16
MKL,186,2.210e-16,2.221e-16,5.804e-16
VectorFFT,187,5.456e-16,7.102e-16,1.736e-15
MKL,187,3.435e-16,4.958e-16,1.239e-15
VectorFFT,188,3.511e-16,3.954e-16,9.814e-16
MKL,188,2.326e-16,2.721e-16,5.520e-16
VectorFFT,189,3.930e-16,4.169e-16,1.045e-15
MKL,189,2.780e-16,3.678e-16,7.969e-16
VectorFFT,190,3.789e-16,5.062e-16,7.932e-16
MKL,190,2.572e-16,2.589e-16,6.024e-16
VectorFFT,191,7.413e-16,8.104e-16,1.696e-15
MKL,191,4.263e-16,5.221e-16,1.260e-15
VectorFFT,192,2.923e-16,4.034e-16,9.273e-16
MKL,192,1.830e-16,2.114e-16,5.603e-16
VectorFFT,193,6.481e-16,4.865e-16,1.686e-15
MKL,193,4.270e-16,3.052e-16,1.106e-15
VectorFFT,194,5.685e-16,8.297e-16,9.475e-16
MKL,194,2.778e-16,3.762e-16,7.867e-16
VectorFFT,195,4.812e-16,6.158e-16,1.367e-15
MKL,195,3.015e-16,3.387e-16,7.874e-16
VectorFFT,196,3.149e-16,3.785e-16,7.670e-16
MKL,196,2.187e-16,2.011e-16,7.599e-16
VectorFFT,197,6.258e-16,7.879e-16,1.343e-15
MKL,197,4.660e-16,6.073e-16,1.210e-15
VectorFFT,198,4.244e-16,5.893e-16,9.379e-16
MKL,198,2.356e-16,3.225e-16,5.714e-16
VectorFFT,199,7.398e-16,6.402e-16,1.669e-15
MKL,199,4.357e-16,3.682e-16,9.987e-16
VectorFFT,200,3.218e-16,3.793e-16,6.713e-16
MKL,200,2.154e-16,2.107e-16,6.638e-16
VectorFFT,201,6.205e-16,7.231e-16,1.243e-15
MKL,201,2.882e-16,4.271e-16,8.677e-16
VectorFFT,202,5.082e-16,5.370e-16,1.012e-15
MKL,202,2.816e-16,3.847e-16,1.023e-15
VectorFFT,203,3.989e-16,4.547e-16,7.237e-16
MKL,203,2.501e-16,2.291e-16,5.901e-16
VectorFFT,204,4.318e-16,5.230e-16,1.045e-15
MKL,204,2.275e-16,2.781e-16,7.485e-16
VectorFFT,205,3.497e-16,2.977e-16,9.583e-16
MKL,205,2.803e-16,2.472e-16,7.421e-16
VectorFFT,206,7.286e-16,6.541e-16,1.575e-15
MKL,206,2.979e-16,3.177e-16,7.176e-16
VectorFFT,207,4.681e-16,4.883e-16,1.238e-15
MKL,207,3.125e-16,3.169e-16,7.493e-16
VectorFFT,208,4.109e-16,4.320e-16,9.417e-16
MKL,208,2.063e-16,1.859e-16,5.066e-16
VectorFFT,209,4.086e-16,3.986e-16,8.735e-16
MKL,209,3.021e-16,3.066e-16,8.134e-16
VectorFFT,210,3.453e-16,4.098e-16,7.776e-16
MKL,210,2.040e-16,1.928e-16,6.382e-16
VectorFFT,211,7.239e-16,1.004e-15,1.644e-15
MKL,211,4.669e-16,4.996e-16,1.436e-15
VectorFFT,212,6.118e-16,6.485e-16,1.537e-15
MKL,212,2.300e-16,2.544e-16,5.382e-16
VectorFFT,213,7.254e-16,1.134e-15,1.350e-15
MKL,213,2.792e-16,3.918e-16,7.654e-16
VectorFFT,214,6.672e-16,7.405e-16,1.269e-15
MKL,214,3.086e-16,3.675e-16,9.895e-16
VectorFFT,215,3.989e-16,4.515e-16,9.668e-16
MKL,215,2.780e-16,2.959e-16,8.463e-16
VectorFFT,216,4.050e-16,5.822e-16,1.020e-15
MKL,216,1.933e-16,2.154e-16,5.036e-16
VectorFFT,217,4.055e-16,4.798e-16,8.839e-16
MKL,217,2.717e-16,2.443e-16,7.510e-16
VectorFFT,218,6.416e-16,7.639e-16,1.283e-15
MKL,218,2.862e-16,3.602e-16,7.768e-16
VectorFFT,219,6.248e-16,6.765e-16,1.342e-15
MKL,219,2.618e-16,3.028e-16,6.988e-16
VectorFFT,220,3.443e-16,4.127e-16,7.974e-16
MKL,220,2.250e-16,2.645e-16,7.178e-16
VectorFFT,221,5.509e-16,4.799e-16,1.252e-15
MKL,221,2.668e-16,2.409e-16,6.945e-16
VectorFFT,222,4.066e-16,4.719e-16,8.519e-16
MKL,222,2.374e-16,3.126e-16,5.847e-16
VectorFFT,223,6.679e-16,7.206e-16,1.244e-15
MKL,223,4.549e-16,4.578e-16,1.486e-15
VectorFFT,224,2.646e-16,3.861e-16,7.570e-16
MKL,224,1.850e-16,2.059e-16,5.999e-16
VectorFFT,225,4.091e-16,3.251e-16,8.605e-16
MKL,225,2.794e-16,2.372e-16,7.537e-16
VectorFFT,226,5.897e-16,7.491e-16,1.081e-15
MKL,226,2.831e-16,4.219e-16,8.021e-16
VectorFFT,227,6.755e-16,7.366e-16,1.568e-15
MKL,227,4.611e-16,5.120e-16,1.167e-15
VectorFFT,228,8.250e-16,1.274e-15,3.356e-15
MKL,228,2.285e-16,2.676e-16,6.552e-16
VectorFFT,229,8.072e-16,8.503e-16,1.971e-15
MKL,229,5.081e-16,6.764e-16,1.593e-15
VectorFFT,230,4.240e-16,4.890e-16,9.642e-16
MKL,230,2.451e-16,3.117e-16,8.318e-16
VectorFFT,231,3.777e-16,4.914e-16,9.588e-16
MKL,231,2.981e-16,3.127e-16,7.146e-16
VectorFFT,232,4.234e-16,5.452e-16,1.326e-15
MKL,232,2.104e-16,2.763e-16,6.228e-16
VectorFFT,233,6.010e-16,8.488e-16,1.145e-15
MKL,233,5.030e-16,5.607e-16,1.221e-15
VectorFFT,234,5.016e-16,5.923e-16,1.448e-15
MKL,234,2.291e-16,2.363e-16,5.806e-16
VectorFFT,235,3.957e-16,3.448e-16,8.030e-16
MKL,235,2.603e-16,2.365e-16,6.959e-16
VectorFFT,236,5.959e-16,5.692e-16,1.324e-15
MKL,236,2.523e-16,2.316e-16,6.584e-16
VectorFFT,237,6.653e-16,7.320e-16,1.541e-15
MKL,237,2.585e-16,2.041e-16,8.047e-16
VectorFFT,238,6.723e-16,7.017e-16,2.060e-15
MKL,238,2.223e-16,2.185e-16,5.866e-16
VectorFFT,239,6.494e-16,6.660e-16,1.145e-15
MKL,239,5.196e-16,4.835e-16,1.751e-15
VectorFFT,240,3.792e-16,5.287e-16,6.018e-16
MKL,240,2.159e-16,1.940e-16,5.388e-16
VectorFFT,241,5.886e-16,5.192e-16,1.489e-15
MKL,241,5.132e-16,4.928e-16,1.463e-15
VectorFFT,242,5.123e-16,7.048e-16,1.742e-15
MKL,242,2.048e-16,2.065e-16,5.362e-16
VectorFFT,243,5.221e-16,5.449e-16,1.141e-15
MKL,243,3.464e-16,4.549e-16,7.474e-16
VectorFFT,244,6.714e-16,7.859e-16,1.369e-15
MKL,244,2.457e-16,4.087e-16,6.129e-16
VectorFFT,245,3.313e-16,4.210e-16,7.523e-16
MKL,245,2.542e-16,3.106e-16,6.859e-16
