timestamp,N,K,wis_factors,wis_ns,heur_factors,heur_ns,fftw_ns,wis_speedup,heur_speedup
2026-04-03_21:32:25,5000,1024,,,,2x2x2x5x5x25,21199925.0,93231705.0,,4.40
2026-04-03_21:32:25,10000,32,,,,16x25x25,670640.0,3053635.0,,4.55
2026-04-03_21:32:25,10000,256,,,,4x4x5x5x25,9343095.0,38454915.0,,4.12
2026-04-03_21:32:25,10000,1024,,,,2x2x2x2x5x5x25,51239320.0,354772730.0,,6.92
2026-04-03_21:32:25,20000,32,,,,25x25x32,2249345.0,7575615.0,,3.37
2026-04-03_21:32:25,20000,256,,,,2x4x4x5x5x25,22650220.0,130807280.0,,5.78
2026-04-03_21:32:25,50000,32,,,,4x20x25x25,5819500.0,32708825.0,,5.62
2026-04-03_21:32:25,50000,256,,,,4x4x5x5x5x25,60106745.0,821968450.0,,13.68
2026-04-03_21:32:25,49,32,7x7,699.8,7x7,692.6,4190.6,5.99,6.05
2026-04-03_21:32:25,49,256,7x7,6510.1,7x7,6634.2,27435.4,4.21,4.14
2026-04-03_21:32:25,143,32,11x13,4021.6,11x13,3906.4,15166.1,3.77,3.88
2026-04-03_21:32:25,143,256,11x13,30666.7,11x13,32166.7,89425.9,2.92,2.78
2026-04-03_21:32:25,875,32,7x5x5x5,25468.6,5x7x25,28420.0,83505.7,3.28,2.94
2026-04-03_21:32:25,875,256,5x5x5x7,334525.0,5x7x25,403145.0,1100150.0,3.29,2.73
2026-04-03_21:32:25,2401,32,,,,7x7x7x7,114555.0,306405.0,,2.67
2026-04-03_21:32:25,2401,256,,,,7x7x7x7,1150830.0,4966550.0,,4.32
2026-04-03_21:32:25,8000,256,,,,4x4x4x5x25,6695130.0,19473025.0,,2.91
2026-04-03_21:32:25,12000,256,,,,2x3x4x4x5x25,12308945.0,79252715.0,,6.44
2026-04-03_21:32:25,25000,256,,,,2x4x5x5x5x25,35891840.0,183450610.0,,5.11
2026-04-03_21:32:25,40000,256,,,,4x4x4x5x5x25,53015305.0,636710710.0,,12.01
2026-04-03_21:32:25,100000,32,,,,10x20x20x25,17548770.0,111957440.0,,6.38
2026-04-05_00:35:58,256,32,4x8x8,5621.3,,,16863.9,12146.7,3.00,2.16
2026-04-05_00:35:58,256,256,8x2x16,63700.0,,,154580.0,99010.0,2.43,1.55
2026-04-05_00:47:03,256,32,4x8x8,5689.3,,,16892.6,12016.4,2.97,2.11
2026-04-05_00:47:03,256,256,4x4x4x4,55850.0,,,127415.0,99730.0,2.28,1.79
2026-04-05_00:47:03,256,1024,4x4x4x4,400150.0,,,641535.0,547025.0,1.60,1.37
2026-04-05_00:47:03,1024,32,4x4x8x8,29666.7,,,66796.7,55010.0,2.25,1.85
2026-04-05_00:47:03,1024,256,4x4x4x2x8,478505.0,,,778730.0,646035.0,1.63,1.35
2026-04-05_00:47:03,1024,1024,4x4x4x4x4,2370965.0,,,3158300.0,3007635.0,1.33,1.27
2026-04-05_00:47:03,4096,32,4x4x8x4x8,312670.0,,,498695.0,312330.0,1.59,1.00
2026-04-05_00:47:03,4096,256,2x4x4x4x4x8,2976560.0,,,4965760.0,3252230.0,1.67,1.09
2026-04-05_00:47:03,4096,1024,2x2x2x2x2x2x2x32,21123775.0,,,37661310.0,24694080.0,1.78,1.17
2026-04-05_00:47:03,16384,32,16x4x8x4x8,1974415.0,,,5068225.0,2006680.0,2.57,1.02
2026-04-05_00:47:03,16384,256,2x4x4x4x4x4x8,18838000.0,,,120413085.0,21542490.0,6.39,1.14
2026-04-05_00:47:03,60,32,12x5,745.4,,,3236.5,3555.4,4.34,4.77
2026-04-05_00:47:03,60,256,12x5,9650.8,,,29456.9,38373.8,3.05,3.98
2026-04-05_00:47:03,60,1024,4x5x3,36850.0,,,121560.0,148720.0,3.30,4.04
2026-04-05_00:47:03,200,32,8x5x5,4123.7,,,12772.4,13070.5,3.10,3.17
2026-04-05_00:47:03,200,256,8x5x5,29905.0,,,101915.0,114475.0,3.41,3.83
2026-04-05_00:47:03,200,1024,5x4x2x5,285845.0,,,574865.0,602595.0,2.01,2.11
2026-04-05_00:47:03,1000,32,5x5x8x5,28935.5,,,69983.9,75248.4,2.42,2.60
2026-04-05_00:47:03,1000,256,5x8x5x5,385690.0,,,939040.0,834155.0,2.43,2.16
2026-04-05_00:47:03,1000,1024,5x4x5x2x5,2362300.0,,,3800070.0,3865165.0,1.61,1.64
2026-04-05_00:47:03,5000,32,8x25x25,323015.0,,,1145730.0,626710.0,3.55,1.94
2026-04-05_00:47:03,5000,256,2x4x5x5x25,4108320.0,,,9820595.0,5048585.0,2.39,1.23
2026-04-05_00:47:03,5000,1024,2x2x2x5x5x25,22182675.0,,,77674025.0,33122040.0,3.50,1.49
2026-04-05_00:47:03,10000,32,16x25x25,663135.0,,,3072350.0,1236170.0,4.63,1.86
2026-04-05_00:47:03,10000,256,4x4x5x5x25,9421215.0,,,45899640.0,14601395.0,4.87,1.55
