N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
110,1,z:ilp,nat-ip,86,128,43.502,1.493,5.739e-16,2p,0
110,1,z:ilp,nat-ip,86,128,43.519,1.493,5.739e-16,2p,1
111,1,z:ilp,nat-ip,450,563,8.376,1.250,6.436e-16,prime,0
111,1,z:ilp,nat-ip,458,562,8.242,1.229,6.436e-16,prime,1
112,1,z:ilp,nat-ip,72,94,52.935,1.301,3.857e-16,2p,0
112,1,z:ilp,nat-ip,72,94,52.777,1.296,3.857e-16,2p,1
113,1,z:ilp,nat-ip,270,566,14.266,2.096,8.435e-16,prime,0
113,1,z:ilp,nat-ip,270,566,14.251,2.094,8.435e-16,prime,1
114,1,z:ilp,nat-ip,113,244,34.514,2.162,7.745e-16,2p,0
114,1,z:ilp,nat-ip,120,243,32.363,2.020,7.745e-16,2p,1
115,1,z:ilp,nat-ip,205,331,19.237,1.616,1.682e-15,2p,0
115,1,z:ilp,nat-ip,148,331,26.648,2.241,1.682e-15,2p,1
116,1,z:ilp,nat-ip,453,361,8.781,0.796,1.213e-15,prime,0
116,1,z:ilp,nat-ip,502,360,7.918,0.717,1.213e-15,prime,1
117,1,z:ilp,nat-ip,102,136,39.233,1.329,8.841e-16,2p,0
117,1,z:ilp,nat-ip,122,136,32.812,1.111,8.841e-16,2p,1
118,1,z:ilp,nat-ip,455,832,8.925,1.828,5.646e-16,prime,0
118,1,z:ilp,nat-ip,465,831,8.730,1.787,5.646e-16,prime,1
119,1,z:ilp,nat-ip,122,274,33.543,2.242,8.944e-16,2p,0
119,1,z:ilp,nat-ip,132,274,31.168,2.082,8.944e-16,2p,1
120,1,z:ilp,nat-ip,80,124,51.913,1.554,5.599e-16,2p,0
120,1,z:ilp,nat-ip,80,124,51.496,1.537,5.599e-16,2p,1
121,1,z:ilp,nat-ip,110,121,37.901,1.100,8.133e-16,2p,0
121,1,z:ilp,nat-ip,111,122,37.606,1.094,8.133e-16,2p,1
122,1,z:ilp,nat-ip,462,906,9.148,1.961,7.599e-16,prime,0
122,1,z:ilp,nat-ip,468,906,9.040,1.938,7.599e-16,prime,1
123,1,z:ilp,nat-ip,466,722,9.169,1.551,8.484e-16,prime,0
123,1,z:ilp,nat-ip,463,722,9.218,1.559,8.484e-16,prime,1
124,1,z:ilp,nat-ip,459,405,9.393,0.883,8.008e-16,prime,0
124,1,z:ilp,nat-ip,460,405,9.364,0.880,8.008e-16,prime,1
125,1,z:ilp,nat-ip,104,133,41.841,1.276,4.847e-16,2p,0
125,1,z:ilp,nat-ip,103,132,42.302,1.287,4.847e-16,2p,1
126,1,z:ilp,nat-ip,98,135,45.035,1.378,3.110e-16,2p,0
126,1,z:ilp,nat-ip,100,135,43.837,1.342,3.110e-16,2p,1
127,1,z:ilp,nat-ip,399,578,11.109,1.448,1.308e-15,prime,0
127,1,z:ilp,nat-ip,427,578,10.384,1.353,1.308e-15,prime,1
128,1,z:ilp,nat-ip,68,68,65.405,1.000,4.284e-16,2p,0
128,1,z:ilp,nat-ip,68,68,66.203,1.002,4.284e-16,2p,1
129,1,z:ilp,nat-ip,944,794,4.789,0.841,5.977e-16,prime,0
129,1,z:ilp,nat-ip,946,800,4.782,0.846,5.977e-16,prime,1
130,1,z:ilp,nat-ip,107,155,42.539,1.445,6.566e-16,2p,0
130,1,z:ilp,nat-ip,107,155,42.497,1.443,6.566e-16,2p,1
131,1,z:ilp,nat-ip,365,947,12.639,2.599,9.925e-16,prime,0
131,1,z:ilp,nat-ip,369,946,12.492,2.565,9.925e-16,prime,1
132,1,z:ilp,nat-ip,106,144,43.934,1.364,8.247e-16,2p,0
132,1,z:ilp,nat-ip,104,144,44.635,1.383,8.247e-16,2p,1
133,1,z:ilp,nat-ip,154,324,30.438,2.105,1.190e-15,2p,0
133,1,z:ilp,nat-ip,147,330,31.972,2.246,1.190e-15,2p,1
134,1,z:ilp,nat-ip,938,1107,5.048,1.180,7.686e-16,prime,0
134,1,z:ilp,nat-ip,934,1106,5.069,1.184,7.686e-16,prime,1
135,1,z:ilp,nat-ip,109,154,43.673,1.411,6.768e-16,2p,0
135,1,z:ilp,nat-ip,109,154,43.640,1.408,6.768e-16,2p,1
136,1,z:ilp,nat-ip,122,273,39.639,2.246,1.026e-15,2p,0
136,1,z:ilp,nat-ip,122,273,39.612,2.243,1.026e-15,2p,1
137,1,z:ilp,nat-ip,402,955,12.093,2.376,1.316e-15,prime,0
137,1,z:ilp,nat-ip,402,954,12.093,2.374,1.316e-15,prime,1
138,1,z:ilp,nat-ip,188,347,26.068,1.844,1.763e-15,2p,0
138,1,z:ilp,nat-ip,188,346,26.150,1.847,1.763e-15,2p,1
139,1,z:ilp,nat-ip,513,954,9.637,1.859,1.846e-15,prime,0
139,1,z:ilp,nat-ip,514,955,9.621,1.857,1.846e-15,prime,1
140,1,z:ilp,nat-ip,111,144,45.100,1.297,4.089e-16,chain3,0
140,1,z:ilp,nat-ip,112,144,44.466,1.283,4.089e-16,chain3,1
141,1,z:ilp,nat-ip,956,979,5.267,1.025,6.695e-16,prime,0
141,1,z:ilp,nat-ip,955,977,5.271,1.023,6.695e-16,prime,1
142,1,z:ilp,nat-ip,1030,1258,4.931,1.222,8.480e-16,prime,0
142,1,z:ilp,nat-ip,988,1260,5.138,1.275,8.480e-16,prime,1
143,1,z:ilp,nat-ip,138,148,37.024,1.071,9.536e-16,2p,0
143,1,z:ilp,nat-ip,139,148,36.947,1.066,9.536e-16,2p,1
144,1,z:ilp,nat-ip,109,140,47.350,1.286,5.397e-16,chain3,0
144,1,z:ilp,nat-ip,109,140,47.375,1.287,5.397e-16,chain3,1
145,1,z:ilp,nat-ip,958,552,5.433,0.576,6.818e-16,prime,0
145,1,z:ilp,nat-ip,958,552,5.434,0.576,6.818e-16,prime,1
146,1,z:ilp,nat-ip,1016,1352,5.165,1.330,9.531e-16,prime,0
146,1,z:ilp,nat-ip,987,1349,5.318,1.367,9.531e-16,prime,1
147,1,z:ilp,nat-ip,133,158,39.729,1.184,4.851e-16,chain3,0
147,1,z:ilp,nat-ip,133,158,39.676,1.182,4.851e-16,chain3,1
148,1,z:ilp,nat-ip,953,585,5.599,0.614,4.931e-16,prime,0
148,1,z:ilp,nat-ip,953,586,5.598,0.615,4.931e-16,prime,1
149,1,z:ilp,nat-ip,957,973,5.622,1.017,6.099e-16,prime,0
149,1,z:ilp,nat-ip,957,973,5.618,1.017,6.099e-16,prime,1
150,1,z:ilp,nat-ip,110,158,49.201,1.432,3.684e-16,2p,0
150,1,z:ilp,nat-ip,110,158,49.174,1.429,3.684e-16,2p,1
151,1,z:ilp,nat-ip,408,969,13.398,2.377,7.324e-16,prime,0
151,1,z:ilp,nat-ip,402,976,13.592,2.427,7.324e-16,prime,1
152,1,z:ilp,nat-ip,150,329,36.604,2.185,8.119e-16,2p,0
152,1,z:ilp,nat-ip,151,329,36.465,2.179,8.119e-16,2p,1
153,1,z:ilp,nat-ip,169,369,32.887,2.185,1.014e-15,2p,0
153,1,z:ilp,nat-ip,169,370,32.816,2.187,1.014e-15,2p,1
154,1,z:ilp,nat-ip,198,205,28.272,1.035,8.448e-16,flat,0
154,1,z:ilp,nat-ip,197,205,28.348,1.040,8.448e-16,flat,1
155,1,z:ilp,nat-ip,992,626,5.682,0.631,5.403e-16,prime,0
155,1,z:ilp,nat-ip,977,626,5.774,0.641,5.403e-16,prime,1
156,1,z:ilp,nat-ip,130,172,43.566,1.317,6.056e-16,2p,0
156,1,z:ilp,nat-ip,133,172,42.733,1.292,6.056e-16,2p,1
157,1,z:ilp,nat-ip,437,983,13.110,2.251,1.674e-15,prime,0
157,1,z:ilp,nat-ip,434,979,13.195,2.257,1.674e-15,prime,1
158,1,z:ilp,nat-ip,960,1592,6.012,1.659,5.690e-16,prime,0
