N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip,engaged
63,1,z:ilp,nat-oop,46,67,41.215,1.471,5.050e-16,2p,1,0
64,1,z:ilp,nat-oop,47,31,40.461,0.647,3.061e-16,2p,1,0
65,1,z:ilp,nat-oop,55,67,35.764,1.216,5.868e-16,2p,1,0
66,1,z:ilp,nat-oop,46,66,43.055,1.423,6.157e-16,2p,1,0
67,1,z:ilp,nat-oop,171,740,11.916,4.342,9.808e-16,prime,1,0
68,1,z:ilp,nat-oop,66,138,31.535,2.099,9.965e-16,2p,1,0
69,1,z:ilp,nat-oop,97,196,21.835,2.030,8.102e-16,2p,1,0
70,1,z:ilp,nat-oop,45,78,47.288,1.726,3.505e-16,2p,1,0
71,1,z:ilp,nat-oop,170,845,12.860,4.977,7.646e-16,prime,1,0
72,1,z:ilp,nat-oop,45,75,48.823,1.647,5.906e-16,2p,1,0
73,1,z:ilp,nat-oop,173,902,13.045,5.206,7.901e-16,prime,1,0
74,1,z:ilp,nat-oop,435,295,5.278,0.677,5.919e-16,prime,1,0
75,1,z:ilp,nat-oop,58,78,40.348,1.347,4.922e-16,2p,1,0
76,1,z:ilp,nat-oop,74,164,32.184,2.229,7.163e-16,2p,1,0
77,1,z:ilp,nat-oop,60,75,40.055,1.237,5.342e-16,2p,1,0
78,1,z:ilp,nat-oop,58,80,42.273,1.380,1.048e-15,2p,1,0
79,1,z:ilp,nat-oop,209,1087,11.886,5.187,1.670e-15,prime,1,0
80,1,z:ilp,nat-oop,46,70,55.123,1.522,3.453e-16,2p,1,0
81,1,z:ilp,nat-oop,60,86,42.835,1.437,6.525e-16,2p,1,0
82,1,z:ilp,nat-oop,440,370,5.918,0.841,7.408e-16,prime,1,0
83,1,z:ilp,nat-oop,456,1243,5.802,2.725,7.081e-16,prime,1,0
84,1,z:ilp,nat-oop,58,87,46.093,1.501,3.271e-16,2p,1,0
85,1,z:ilp,nat-oop,84,189,32.494,2.254,1.109e-15,2p,1,0
86,1,z:ilp,nat-oop,456,405,6.058,0.888,5.480e-16,prime,1,0
87,1,z:ilp,nat-oop,429,329,6.527,0.765,5.635e-16,prime,1,0
88,1,z:ilp,nat-oop,61,87,46.744,1.427,8.421e-16,2p,1,0
89,1,z:ilp,nat-oop,217,1510,13.282,6.961,8.744e-16,prime,1,0
90,1,z:ilp,nat-oop,60,95,49.049,1.591,6.385e-16,2p,1,0
91,1,z:ilp,nat-oop,75,91,39.430,1.210,9.093e-16,2p,1,0
92,1,z:ilp,nat-oop,123,234,24.441,1.909,1.836e-15,2p,1,0
93,1,z:ilp,nat-oop,439,376,6.919,0.856,6.555e-16,prime,1,0
94,1,z:ilp,nat-oop,446,497,6.901,1.113,8.017e-16,prime,1,0
95,1,z:ilp,nat-oop,103,227,30.225,2.195,1.127e-15,2p,1,0
96,1,z:ilp,nat-oop,51,96,61.649,1.874,4.932e-16,2p,1,0
97,1,z:ilp,nat-oop,219,654,14.648,2.992,7.067e-16,prime,1,0
98,1,z:ilp,nat-oop,115,124,28.135,1.077,4.740e-16,flat,1,0
99,1,z:ilp,nat-oop,83,112,39.517,1.347,1.061e-15,2p,1,0
100,1,z:ilp,nat-oop,64,103,51.850,1.611,3.942e-16,2p,1,0
101,1,z:ilp,nat-oop,234,559,14.349,2.384,7.591e-16,prime,1,0
102,1,z:ilp,nat-oop,92,203,36.996,2.211,1.039e-15,2p,1,0
103,1,z:ilp,nat-oop,298,569,11.573,1.913,1.988e-15,prime,1,0
104,1,z:ilp,nat-oop,75,101,46.584,1.353,9.436e-16,2p,1,0
105,1,z:ilp,nat-oop,82,114,42.871,1.388,6.229e-16,2p,1,0
106,1,z:ilp,nat-oop,448,663,7.963,1.481,6.671e-16,prime,1,0
107,1,z:ilp,nat-oop,445,564,8.100,1.266,1.000e-15,prime,1,0
