library,N,l2_error,max_error,rt_error
VectorFFT,58x64,3.469e-16,4.410e-16,1.033e-15
MKL,58x64,3.349e-16,3.403e-16,1.127e-15
VectorFFT,58x128,3.535e-16,3.859e-16,1.225e-15
MKL,58x128,3.289e-16,3.091e-16,9.961e-16
VectorFFT,58x256,3.602e-16,4.804e-16,1.229e-15
MKL,58x256,3.379e-16,3.523e-16,1.208e-15
VectorFFT,58x512,3.673e-16,3.358e-16,1.419e-15
MKL,58x512,3.514e-16,3.423e-16,1.307e-15
VectorFFT,62x64,3.746e-16,5.046e-16,1.119e-15
MKL,62x64,3.448e-16,3.427e-16,9.588e-16
VectorFFT,62x128,3.776e-16,4.727e-16,1.262e-15
MKL,62x128,3.636e-16,3.770e-16,1.052e-15
VectorFFT,62x256,3.830e-16,4.518e-16,1.341e-15
MKL,62x256,3.759e-16,4.102e-16,1.181e-15
VectorFFT,62x512,3.916e-16,4.018e-16,1.471e-15
MKL,62x512,3.952e-16,3.807e-16,1.334e-15
VectorFFT,94x64,3.548e-16,3.583e-16,1.104e-15
MKL,94x64,2.710e-16,3.166e-16,9.207e-16
VectorFFT,94x128,3.626e-16,3.759e-16,1.220e-15
MKL,94x128,2.841e-16,3.450e-16,1.061e-15
VectorFFT,94x256,3.685e-16,4.668e-16,1.277e-15
MKL,94x256,2.985e-16,3.172e-16,1.146e-15
VectorFFT,94x512,3.782e-16,3.689e-16,1.420e-15
MKL,94x512,3.171e-16,3.740e-16,1.394e-15
